User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM31,About,SVM,0.93243,1,0.375,0.54545
DM31,About,NN,0.95946,0.77778,0.875,0.82353
DM31,And,DT,0.98649,1,0.85714,0.92308
DM31,And,SVM,1,1,1,1
DM31,And,NN,1,1,1,1
DM31,Can,DT,0.94595,0.83333,0.625,0.71429
DM31,Can,SVM,0.95946,1,0.625,0.76923
DM31,Can,NN,0.91892,1,0.25,0.4
DM31,Cop,DT,0.97297,0.77778,1,0.875
DM31,Cop,SVM,0.98649,0.875,1,0.93333
DM31,Cop,NN,1,1,1,1
DM31,Deaf,DT,0.94595,0.75,0.75,0.75
DM31,Deaf,SVM,0.98649,1,0.875,0.93333
DM31,Deaf,NN,0.97297,0.8,1,0.88889
DM31,Decide,DT,0.91892,0.75,0.375,0.5
DM31,Decide,SVM,0.93243,0.8,0.5,0.61538
DM31,Decide,NN,0.86486,0.42857,0.75,0.54545
DM31,Father,DT,0.98649,1,0.875,0.93333
DM31,Father,SVM,0.95946,1,0.625,0.76923
DM31,Father,NN,0.94595,0.83333,0.625,0.71429
DM31,Find,DT,0.93243,0.71429,0.625,0.66667
DM31,Find,SVM,0.93243,0.8,0.5,0.61538
DM31,Find,NN,0.97297,1,0.75,0.85714
DM31,GoOut,DT,0.94595,0,0,0
DM31,GoOut,SVM,0.98649,1,0.75,0.85714
DM31,GoOut,NN,0.93243,0.44444,1,0.61538
DM31,Hearing,DT,0.97297,0.8,1,0.88889
DM31,Hearing,SVM,1,1,1,1
DM31,Hearing,NN,0.90541,1,0.125,0.22222
DM32,About,DT,1,1,1,1
DM32,About,SVM,0.97368,1,0.77778,0.875
DM32,About,NN,0.97368,0.88889,0.88889,0.88889
DM32,And,DT,0.90789,1,0.22222,0.36364
DM32,And,SVM,0.92105,1,0.33333,0.5
DM32,And,NN,0.93421,1,0.44444,0.61538
DM32,Can,DT,0.93421,0.8,0.5,0.61538
DM32,Can,SVM,0.98684,1,0.875,0.93333
DM32,Can,NN,0.98684,1,0.875,0.93333
DM32,Cop,DT,0.98684,1,0.875,0.93333
DM32,Cop,SVM,1,1,1,1
DM32,Cop,NN,0.96053,0.72727,1,0.84211
DM32,Deaf,DT,0.94737,0.75,0.75,0.75
DM32,Deaf,SVM,0.98684,0.88889,1,0.94118
DM32,Deaf,NN,0.97368,1,0.75,0.85714
DM32,Decide,DT,0.96053,0.57143,1,0.72727
DM32,Decide,SVM,0.98684,0.8,1,0.88889
DM32,Decide,NN,0.98684,0.8,1,0.88889
DM32,Father,DT,0.93421,0.75,0.42857,0.54545
DM32,Father,SVM,0.90789,0.5,0.14286,0.22222
DM32,Father,NN,0.92105,1,0.14286,0.25
DM32,Find,DT,0.97368,0.875,0.875,0.875
DM32,Find,SVM,0.96053,0.77778,0.875,0.82353
DM32,Find,NN,0.94737,0.83333,0.625,0.71429
DM32,GoOut,DT,0.97368,1,0.71429,0.83333
